ITEM NAME ,URL,PRICE ,RAITING 
Yogabar Breakfast Cereal & Muesli | Fruits Nuts and Seeds | Almond + Quinoa Crunch | 400g Each,https://www.amazon.in/Yogabar-Breakfast-Cereal-Muesli-Fruits/dp/B08PC3R5LK?_encoding=UTF8&psc=1&smid=AA0J98CVDRG52,₹ 468.12,Item Not famous
JIMMY'S COCKTAILS Limited Edition Party Pack by Jimmy's Cocktails (Gift box ),https://www.amazon.in/JIMMYS-COCKTAILS-Limited-Jimmys-Cocktails/dp/B08M6458JS?_encoding=UTF8&psc=1,"₹ 1,199.00",3.5
N-Blues pack of 2 polycarbonate transparent safety goggles for men and women,https://www.amazon.in/N-Blues-polycarbonate-transparent-safety-goggles/dp/B08QZRMW9R?_encoding=UTF8&psc=1,₹ 179.00,Item Not famous
"Pilgrim Face Care Combo Face Wash (100ml) + Day Cream SPF 50 (100gm) & Vitamin C Night Serum (30ml) Deep Cleansing, Oil Control, Glowing Skin, De-Pigmentation & Tan Removal | All Skin | Men & Women",https://www.amazon.in/Pilgrim-Vitamin-Cleansing-Control-Pigmentation/dp/B08LNZ4FLM?_encoding=UTF8&psc=1,"₹ 1,190.00",5.0
Casa Décor Wood Patio Stand,https://www.amazon.in/Casa-D%C3%A9cor-Wood-Patio-Stand/dp/B08LHD8TXT?_encoding=UTF8&psc=1,₹ 499.00,3.0
"TBH - To Be Honest Fruit and Vegetable Vacuum Cooked Gluten-free Chips Combo Pack of 3 Variants - Okra, Tomato and Tangy Chickpea",https://www.amazon.in/TBH-Vegetable-Gluten-free-Variants-Chickpea/dp/B08MB1NN2N?_encoding=UTF8&psc=1,₹ 245.00,4.0
"Khadi Essentials Pure&Safe Anti Pollution Face Mask 5 Layered Designer Reusable Washable KEN95 with Activated Carbon & Melt Blown Layer for PM 2.5 (Butterfly Blue, Camouflage Green & Digital Black)",https://www.amazon.in/Khadi-Essentials-Pollution-Activated-Camouflage/dp/B08P7LF8ZT?_encoding=UTF8&psc=1,₹ 549.00,Item Not famous
"Sanfe Scented Panty Liners for Women | For Protection Against Leakage, Discharge and Rashes - Natural Fragrance Lavender (50 Units)",https://www.amazon.in/Sanfe-Scented-Protection-Against-Discharge/dp/B08QCP8T3L?_encoding=UTF8&psc=1,₹ 219.00,Item Not famous
"Slurrp Farm Classic Millet Pancake Mix | No Maida, Wheat & Refined Sugar | Supergrain Millets Rich in Nutrients | 150G (Pack of 3)",https://www.amazon.in/Slurrp-Farm-Classic-Supergrain-Nutrients/dp/B08L8SRHP3?_encoding=UTF8&psc=1,₹ 447.00,Item Not famous
DAMDAM Unbreakable Camera Lens Screen Protector Glass for Xiaomi Redmi Note 9 Pro (Transparent),https://www.amazon.in/DAMDAM-Unbreakable-Camera-Protector-Transparent/dp/B08N4M2JN2?_encoding=UTF8&psc=1,₹ 149.00,5.0
Casa Décor Marble Cake Stand Planter Stool Small Garden Table for Multi Purpose,https://www.amazon.in/Casa-D%C3%A9cor-Marble-Planter-Purpose/dp/B08LNRKLKY?_encoding=UTF8&psc=1,₹ 899.00,5.0
"Pink Harvest Farms Bean to Buttons: Baking Chocolate Chips, 200 Gm",https://www.amazon.in/Pink-Harvest-Farms-Bean-Buttons/dp/B08HZ37J44?_encoding=UTF8&psc=1,₹ 299.00 - ₹ 598.00,5.0
"De Tan Facial Kit For Men with Organic Coffee & Glycolic Acid for Tan Removal & Brighter Skin | No Sulfates, No Parabens",https://www.amazon.in/Organic-Glycolic-Brighter-Sulfates-Parabens/dp/B08MW93QTZ?_encoding=UTF8&psc=1,Item Not Available,4.9
